Alpha,Temperature,Dropout Input,Dropout Hidden,Weight Decay,LR Decay,Momentum,Learning Rate,Pruning Factor,Zero Parameters,Test Accuracy,Training Time (s)
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.05,10623041,0.8612,621.0833902359009
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.1,10064438,0.8602,631.4183654785156
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.15,9505835,0.8608,617.4317359924316
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.2,8947233,0.8603,614.0947697162628
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.25,8388632,0.8596,613.4670884609222
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.3,7830030,0.866,609.6190197467804
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.35,7271427,0.8593,614.7972922325134
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.4,6712825,0.8645,619.4600913524628
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.45,6154223,0.8642,615.2466325759888
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.5,5595621,0.8631,621.4707143306732
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.55,5037019,0.8632,611.5245270729065
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.6,4478417,0.8658,623.3338396549225
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.65,3919815,0.8617,621.2140245437622
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.7,3361212,0.8605,622.0167045593262
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.75,2802610,0.857,602.8663601875305
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.8,2244009,0.8544,624.3069686889648
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.85,1685407,0.8456,604.3978617191315
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.9,1126804,0.8382,625.4264187812805
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.95,568201,0.8221,614.5904476642609
