Dropout Input,Dropout Hidden,Weight Decay,LR Decay,Momentum,Learning Rate,Pruning Factor,Zero Parameters,Test Accuracy,Training Time (s)
0.0,0.0,0.001,0.95,0.9,0.01,0.05,10623041,0.8655,0.8685081005096436
0.0,0.0,0.001,0.95,0.9,0.01,0.1,10064438,0.8648,0.8253717422485352
0.0,0.0,0.001,0.95,0.9,0.01,0.15,9505835,0.8653,0.881887674331665
0.0,0.0,0.001,0.95,0.9,0.01,0.2,8947233,0.8652,0.9890787601470947
0.0,0.0,0.001,0.95,0.9,0.01,0.25,8388632,0.8648,1.191800832748413
0.0,0.0,0.001,0.95,0.9,0.01,0.3,7830030,0.863,1.3200373649597168
0.0,0.0,0.001,0.95,0.9,0.01,0.35,7271427,0.8614,1.4252705574035645
0.0,0.0,0.001,0.95,0.9,0.01,0.4,6712825,0.8615,1.5760736465454102
0.0,0.0,0.001,0.95,0.9,0.01,0.45,6154223,0.8617,1.716892957687378
0.0,0.0,0.001,0.95,0.9,0.01,0.5,5595621,0.8598,1.8081293106079102
0.0,0.0,0.001,0.95,0.9,0.01,0.55,5037019,0.8542,2.064418315887451
0.0,0.0,0.001,0.95,0.9,0.01,0.6,4478417,0.8488,2.7649545669555664
0.0,0.0,0.001,0.95,0.9,0.01,0.65,3919815,0.8398,2.253558874130249
0.0,0.0,0.001,0.95,0.9,0.01,0.7,3361212,0.819,2.31650710105896
0.0,0.0,0.001,0.95,0.9,0.01,0.75,2802610,0.7803,2.3913331031799316
0.0,0.0,0.001,0.95,0.9,0.01,0.8,2244009,0.6798,2.539566993713379
0.0,0.0,0.001,0.95,0.9,0.01,0.85,1685407,0.6025,2.8481266498565674
0.0,0.0,0.001,0.95,0.9,0.01,0.9,1126804,0.4259,2.86019229888916
0.0,0.0,0.001,0.95,0.9,0.01,0.95,568201,0.2578,3.6548285484313965
