Bits,Effective Bits,Original Test Accuracy,Quantized Test Accuracy,Training Time (s)
32,21.101521087274197,0.7573,0.7549,32.970229625701904
26,20.47070070120387,0.7573,0.7457,22.030538082122803
20,18.04927036509018,0.7573,0.7477,23.874669313430786
16,15.363720498118917,0.7573,0.7426,22.73934578895569
12,11.92925395173604,0.7573,0.7361,24.937596559524536
8,8.631039634827825,0.7573,0.7292,23.429908275604248
6,6.94963909515503,0.7573,0.7057,22.144026517868042
4,5.002812801132821,0.7573,0.5613,21.90473484992981
3,4.003677318591261,0.7573,0.4193,23.45394730567932
2,3.0045418360497007,0.7573,0.2654,23.733346939086914
