Bits,Effective Bits,Original Test Accuracy,Quantized Test Accuracy,Training Time (s)
32,21.101521087274197,0.7572,0.7501,26.797550678253174
26,20.47070070120387,0.7572,0.7445,20.443836450576782
20,18.04927036509018,0.7572,0.7417,21.031616926193237
16,15.363720498118917,0.7572,0.7419,45.55973267555237
12,11.92925395173604,0.7572,0.7377,23.833227396011353
8,8.631039634827825,0.7572,0.72,23.020495414733887
6,6.973002813157635,0.7572,0.6936,21.384382724761963
4,5.002812801132821,0.7572,0.5848,20.583110094070435
3,4.003677318591261,0.7572,0.2818,20.773494720458984
2,3.0045418360497007,0.7572,0.072,20.447341442108154
