Bits,Efficitive Bits,Original Test Accuracy,Quantized Test Accuracy,Sparsity,Training Time (s)
32,20.14463680875445,0.7643,0.7643,0.0057,64.92102527618408
26,19.844502813131875,0.7643,0.7636,0.0071,63.93063950538635
20,17.797647711148567,0.7643,0.7623,0.0081,63.83354139328003
16,15.088493469717175,0.7643,0.7635,0.0089,82.01337242126465
12,11.879734161864215,0.7643,0.7608,0.0117,85.67603802680969
8,8.436427674339846,0.7643,0.758,0.0362,66.74965524673462
6,6.759958679199023,0.7643,0.7573,0.113,61.91809391975403
4,4.9771517299204415,0.7643,0.7506,0.2933,61.37017774581909
3,4.012572235047322,0.7643,0.7417,0.4895,61.41386842727661
2,3.0148173071520183,0.7643,0.6663,0.6877,74.14977550506592
