Alpha,Temperature,Dropout Input,Dropout Hidden,Weight Decay,LR Decay,Momentum,Learning Rate,Pruning Factor,Zero Parameters,Test Accuracy,Training Time (s)
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.05,10623029,0.8422,98.72463488578796
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.1,10064428,0.8472,97.45876216888428
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.15,9505825,0.8425,94.12182474136353
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.2,8947224,0.8486,94.22912311553955
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.25,8388631,0.8485,98.04366993904114
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.3,7830025,0.8501,96.33372616767883
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.35,7271420,0.8451,95.8143424987793
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.4,6712818,0.847,95.9642653465271
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.45,6154222,0.8523,96.59946298599243
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.5,5595620,0.8521,96.12561464309692
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.55,5037020,0.8588,95.5731418132782
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.6,4478415,0.8517,98.70021629333496
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.65,3919821,0.854,99.01258277893066
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.7,3361215,0.8556,95.42434787750244
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.75,2802611,0.847,97.93941164016724
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.8,2244012,0.8464,99.86151719093323
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.85,1685415,0.8496,99.69096255302429
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.9,1126814,0.8253,100.47440958023071
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.95,568212,0.7947,98.60758829116821
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.05,10623029,0.8403,123.71579957008362
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.1,10064428,0.8362,119.74125957489014
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.15,9505825,0.8387,119.3311059474945
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.2,8947224,0.8338,118.88966774940491
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.25,8388631,0.833,122.81825375556946
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.3,7830025,0.8416,120.6096682548523
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.35,7271420,0.8416,121.20610976219177
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.4,6712818,0.8397,121.06947922706604
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.05,10623029,0.8633,202.18379759788513
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.1,10064428,0.8565,207.64671683311462
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.15,9505825,0.8625,208.42697834968567
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.05,10623029,0.8739,369.529043674469
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.1,10064428,0.8692,374.0139629840851
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.15,9505825,0.8744,373.8796389102936
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.2,8947224,0.8742,429.3994309902191
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.25,8388631,0.8745,378.97052335739136
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.3,7830025,0.8675,370.0679566860199
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.35,7271420,0.87,370.960116147995
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.4,6712818,0.8657,360.9639708995819
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.45,6154222,0.8737,360.8296275138855
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.5,5595620,0.8678,2189.2418649196625
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.55,5037020,0.8724,358.7812201976776
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.6,4478415,0.8732,360.0683720111847
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.65,3919821,0.8701,358.92232632637024
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.7,3361215,0.8728,358.4941544532776
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.75,2802611,0.8676,358.709454536438
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.8,2244012,0.8737,358.6206090450287
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.85,1685415,0.8683,360.51324677467346
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.9,1126814,0.8642,360.9672374725342
0.5,10,0.0,0.0,0.001,0.95,0.9,0.01,0.95,568212,0.8586,361.8587419986725
